Student_ID,Study_Hours,Sleep_Hours,Attendance,Final_Marks,Grade
1,7,8,95,88,A
2,5,7,80,72,B
3,9,7,99,95,A+
4,3,6,65,55,C
5,6,8,88,80,A
6,4,5,70,60,C
7,8,9,92,90,A+
8,2,6,55,45,F
9,7,7,85,78,B
10,5,8,78,70,B
11,10,8,100,98,A+
12,1,5,50,40,F
13,6,7,82,74,B
14,8,8,94,89,A
15,3,7,68,58,C
16,9,9,97,93,A+
17,4,6,72,63,C
18,7,8,88,82,A
19,5,7,75,69,B
20,6,8,83,76,B
21,10,7,99,97,A+
22,2,5,52,42,F
23,8,8,91,87,A
24,4,7,73,64,C
25,7,9,86,81,A
26,3,6,60,50,F
27,9,8,96,92,A+
28,6,7,80,73,B
29,5,8,77,68,B
30,8,7,90,85,A
